"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"SRR11567531","OTHER","PRJNA626373","https://www.ncbi.nlm.nih.gov/biosample/SAMN14639010","0.91","2018-02-01","0.12","Puerto Rico","[18.042667,-66.036447]","freshwater metagenome"
"SRR15377966","WGS","PRJNA714922","https://www.ncbi.nlm.nih.gov/biosample/SAMN18647620","0.93","2018-08-01","0.22","USA","[44.346883,-85.484083]","soil metagenome"
"ERR2683138","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777395","0.9","2017-06-13","0.11","Estonia","NP","wastewater metagenome"
"SRR8936416","WGS","PRJNA528368","https://www.ncbi.nlm.nih.gov/biosample/SAMN11415806","0.91","2018-09-01","0.15","China","[23.14,113.34]","soil metagenome"
"SRR3643851","WGS","PRJNA46333","https://www.ncbi.nlm.nih.gov/biosample/SAMN04999232","0.9","2014-09-01","0.11","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR12893933","WGS","PRJNA671748","https://www.ncbi.nlm.nih.gov/biosample/SAMN16550175","0.92","2017-07-10","0.19","Hong Kong","[22.278064,114.166164]","metagenome"
"SRR5855411","WGS","PRJNA395099","https://www.ncbi.nlm.nih.gov/biosample/SAMN07373107","0.91","2014-09-01","0.13","USA","[38.42,-109.41]","biocrust metagenome"
"SRR5855421","WGS","PRJNA395099","https://www.ncbi.nlm.nih.gov/biosample/SAMN07373086","0.92","2014-09-01","0.17","USA","[38.42,-109.41]","biocrust metagenome"
"SRR8487039","WGS","PRJNA646773","https://www.ncbi.nlm.nih.gov/biosample/SAMN15565755","0.92","2018-08-01","0.15","USA","[38.535556,-121.772778]","soil metagenome"
"ERR2697166","OTHER","PRJEB27666","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4787238","0.9","2017-05-10","0.11","China","NP","metagenome"
"SRR14373459","WGS","PRJNA689669","https://www.ncbi.nlm.nih.gov/biosample/SAMN18780037","0.91","2019-01-17","0.14","China","[23.3,102.52]","metagenome"
"SRR17140469","WGS","PRJNA781277","https://www.ncbi.nlm.nih.gov/biosample/SAMN23245216","0.91","2018-07-20","0.12","uncalculated","[""not applicable""]","indoor metagenome"
"SRR3954471","WGS","PRJNA330069","https://www.ncbi.nlm.nih.gov/biosample/SAMN05422225","0.95","2008-12-31","0.38","USA","[38.99297339,-123.0674491]","soil metagenome"
"SRR15144438","WGS","PRJNA746083","https://www.ncbi.nlm.nih.gov/biosample/SAMN20180582","0.95","2018-12-01","0.35","China","[24.42,113.11]","estuary metagenome"
"SRR13760666","CLONE","PRJNA700129","https://www.ncbi.nlm.nih.gov/biosample/SAMN17836955","0.92","2020-05-20","0.17","uncalculated","[36.78,115.94]","soil metagenome"
"SRR7457709","WGA","PRJNA477767","https://www.ncbi.nlm.nih.gov/biosample/SAMN09499175","0.9","2015-11-03","0.11","China","[34.2487,119.8167]","soil metagenome"
"ERR4678599","WGS","PRJEB40798","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7426299","0.92","2018-12-17","0.18","uncalculated","NP","wastewater metagenome"
"SRR17401454","WGS","PRJNA792827","https://www.ncbi.nlm.nih.gov/biosample/SAMN24468170","0.91","2020-09-04","0.13","USA","[41.01211929,-106.58575355]","pond metagenome"
"SRR5039898","WGA","PRJNA353040","https://www.ncbi.nlm.nih.gov/biosample/SAMN06016048","0.91","2014-10-01","0.13","China","[34.26,108.07]","soil metagenome"
"SRR5639139","WGA","PRJNA388750","https://www.ncbi.nlm.nih.gov/biosample/SAMN07184287","0.91","2014-09-05","0.12","China","[36.52,115.01]","soil metagenome"
"SRR10168429","WGS","PRJNA573810","https://www.ncbi.nlm.nih.gov/biosample/SAMN12826206","0.92","2016-05-25","0.18","uncalculated","[-34.83,54.6]","sediment metagenome"
"SRR7186522","WGS","PRJNA450295","https://www.ncbi.nlm.nih.gov/biosample/SAMN08934566","0.95","2013-09-01","0.35","China","[34.16,108.4]","root metagenome"
"SRR13959605","WGS","PRJNA695572","https://www.ncbi.nlm.nih.gov/biosample/SAMN18297672","0.92","2019-01-03","0.19","China","[39.9042,116.4074]","sediment metagenome"
"SRR9924806","WGS","PRJNA559231","https://www.ncbi.nlm.nih.gov/biosample/SAMN12530127","0.91","2014-10-01","0.15","China","[31.46,118.34]","freshwater sediment metagenome"
"SRR8797213","OTHER","PRJNA529508","https://www.ncbi.nlm.nih.gov/biosample/SAMN11253243","0.91","2015-11-14","0.13","uncalculated","[""missing""]","activated sludge metagenome"
"SRR11922359","OTHER","PRJNA575141","https://www.ncbi.nlm.nih.gov/biosample/SAMN12878113","0.9","2018-05-14","0.12","Iran","[27.06112,56.24636]","marine metagenome"
"ERR3641480","OTHER","PRJEB35194","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6155553","0.91","2017-05-10","0.13","China","NP","metagenome"
"SRR12264177","OTHER","PRJNA647129","https://www.ncbi.nlm.nih.gov/biosample/SAMN15547829","0.91","2018-10-31","0.14","China","[43.94,81.18]","soil metagenome"
"SRR17771313","WGS","PRJNA799781","https://www.ncbi.nlm.nih.gov/biosample/SAMN25209157","0.95","NP","0.36","Costa Rica","[8.6664,-82.3491]","hot springs metagenome"
"SRR407549","OTHER","NP","https://www.ncbi.nlm.nih.gov/biosample/SAMN00788610","0.94","NP","0.3","NP","NP","soil metagenome"
"SRR3187437","WGS","PRJNA46333","https://www.ncbi.nlm.nih.gov/biosample/SAMN04360061","0.92","2014-05-29","0.16","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR4242551","WGS","PRJNA343018","https://www.ncbi.nlm.nih.gov/biosample/SAMN05772500","0.93","NP","0.22","Russia","[68.7166,158.9]","permafrost metagenome"
"SRR3954469","WGS","PRJNA330069","https://www.ncbi.nlm.nih.gov/biosample/SAMN05422225","0.96","2008-12-31","0.4","USA","[38.99297339,-123.0674491]","soil metagenome"
"SRR6202049","WGS","PRJNA366762","https://www.ncbi.nlm.nih.gov/biosample/SAMN06268681","0.9","2011-07-03","0.12","Canada","[49.08,-89.38]","soil metagenome"
"SRR7968834","WGS","PRJNA469300","https://www.ncbi.nlm.nih.gov/biosample/SAMN09094457","0.9","2017-07-10","0.12","USA","[44.23,-122.22]","soil metagenome"
"SRR7595450","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874190","0.9","2014-04-29","0.12","Australia","[-30.20176998,149.59675203]","soil metagenome"
"ERR4691710","WGS","PRJEB4352","https://www.ncbi.nlm.nih.gov/biosample/SAMEA2620484","0.9","NP","0.1","NP","NP","marine metagenome"
"SRR6448216","WGS","PRJNA405357","https://www.ncbi.nlm.nih.gov/biosample/SAMN07632139","0.91","2015-09-18","0.13","USA","[38.8896,-106.9081]","freshwater sediment metagenome"
"SRR12805756","WGS","PRJNA592367","https://www.ncbi.nlm.nih.gov/biosample/SAMN16409510","0.9","2017-04-01","0.12","Namibia","[-23.11,15.16]","metagenome"
"SRR11921704","OTHER","PRJNA506850","https://www.ncbi.nlm.nih.gov/biosample/SAMN14814603","0.91","2015-05-15","0.14","USA","[37.215,-80.442278]","metagenome"
"SRR10002945","WGS","PRJNA561080","https://www.ncbi.nlm.nih.gov/biosample/SAMN12606804","0.96","2017-07-11","0.42","Hong Kong","[22.331996,114.168759]","air metagenome"
"SRR5918944","WGS","PRJNA317932","https://www.ncbi.nlm.nih.gov/biosample/SAMN04874112","0.92","2013-03-29","0.16","Australia","[-34.03715,140.7064]","soil metagenome"
"SRR10585522","WGS","PRJNA593573","https://www.ncbi.nlm.nih.gov/biosample/SAMN13481412","0.9","2018-10-02","0.12","Singapore","[1.42,103.7]","soil metagenome"
"SRR6391596","OTHER","PRJNA422759","https://www.ncbi.nlm.nih.gov/biosample/SAMN08200597","0.9","NP","0.11","China","[29.21,89.84]","soil metagenome"
"SRR8552915","WGS","PRJNA518569","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864328","0.93","2017-05-09","0.21","USA","[38.9206,-106.9489]","soil metagenome"
"SRR13296319","WGA","PRJNA687526","https://www.ncbi.nlm.nih.gov/biosample/SAMN17149436","0.9","2018-09-15","0.1","USA","[42.3847,-76.3036]","soil metagenome"
"ERR2683147","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777404","0.9","2017-06-15","0.12","South Korea","NP","wastewater metagenome"
"SRR8144082","WGS","PRJNA503328","https://www.ncbi.nlm.nih.gov/biosample/SAMN10181160","0.9","2017-05-01","0.11","Peru","[""not applicable""]","Cancris carmenensis"
"ERR5738654","WGS","PRJEB44083","https://www.ncbi.nlm.nih.gov/biosample/SAMEA8505557","0.96","2019-10-09","0.39","United Kingdom","NP","food metagenome"
"SRR14373514","WGS","PRJNA689669","https://www.ncbi.nlm.nih.gov/biosample/SAMN18779838","0.91","2018-10-16","0.13","China","[23.42,102.25]","metagenome"
"ERR2697168","OTHER","PRJEB27666","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4787240","0.9","2017-05-10","0.11","China","NP","metagenome"
"SRR11613413","WGS","PRJNA620819","https://www.ncbi.nlm.nih.gov/biosample/SAMN14510759","0.95","2017-07-17","0.34","USA","[26.6591,-80.6279]","soil metagenome"
"SRR4027589","WGS","PRJNA336855","https://www.ncbi.nlm.nih.gov/biosample/SAMN05518500","0.91","2009-06-28","0.12","USA","[39.0042816,-77.1012173]","soil metagenome"
"SRR10002693","WGS","PRJNA561080","https://www.ncbi.nlm.nih.gov/biosample/SAMN12606632","0.91","2017-06-22","0.13","USA","[40.0258734,-105.2510194]","air metagenome"
"SRR9722238","WGS","PRJNA555626","https://www.ncbi.nlm.nih.gov/biosample/SAMN12324940","0.92","NP","0.19","Brazil","[-18.202541,-43.571691]","soil metagenome"
"SRR17534872","WGS","PRJNA604820","https://www.ncbi.nlm.nih.gov/biosample/SAMN21207529","0.9","2014-06-05","0.12","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR13608716","WGS","PRJNA693684","https://www.ncbi.nlm.nih.gov/biosample/SAMN17394065","0.93","2019-04-20","0.24","United Kingdom","[""not applicable""]","metagenome"
"SRR14610235","WGS","PRJNA731554","https://www.ncbi.nlm.nih.gov/biosample/SAMN19290630","0.91","2014-07-30","0.13","Singapore","[1.332452,103.755456]","wastewater metagenome"
"SRR12649130","WGS","PRJNA663662","https://www.ncbi.nlm.nih.gov/biosample/SAMN16176655","0.91","2017-10-08","0.13","Australia","[-12.37,130.867]","termitarium metagenome"
"SRR17247028","OTHER","PRJNA789344","https://www.ncbi.nlm.nih.gov/biosample/SAMN24109454","0.91","2019-10-01","0.14","uncalculated","[""missing""]","soil metagenome"
"SRR17247033","OTHER","PRJNA789344","https://www.ncbi.nlm.nih.gov/biosample/SAMN24109465","0.93","2019-10-01","0.21","uncalculated","[""missing""]","soil metagenome"
"SRR13759114","WGS","PRJNA703749","https://www.ncbi.nlm.nih.gov/biosample/SAMN17126596","0.9","2017-07-04","0.12","Russia","[53.3,107.52]","metagenome"
"SRR16282468","WGS","PRJNA770010","https://www.ncbi.nlm.nih.gov/biosample/SAMN22190863","0.9","2018-06-12","0.11","Viet Nam","[20.00527778,106.10332256]","aquatic metagenome"
"ERR688344","WGS","PRJEB7840","https://www.ncbi.nlm.nih.gov/biosample/SAMEA3140932","0.92","2012-05-21","0.17","Australia","NP","metagenome"
"SRR17539858","WGS","PRJNA604820","https://www.ncbi.nlm.nih.gov/biosample/SAMN21207495","0.94","2016-01-20","0.25","USA","[38.984652,-77.094709]","human skin metagenome"
"SRR13789605","WGS","PRJNA699281","https://www.ncbi.nlm.nih.gov/biosample/SAMN17617521","0.9","NP","0.11","USA","[41.73,-72.79]","metagenome"
"SRR12721343","WGA","PRJNA666015","https://www.ncbi.nlm.nih.gov/biosample/SAMN16276739","0.91","2017-07-01","0.15","China","[26.14,105.42]","soil metagenome"
"SRR14986178","WGA","PRJNA742226","https://www.ncbi.nlm.nih.gov/biosample/SAMN19945326","0.92","2017-06-14","0.18","Germany","[49.61,10.28]","soil metagenome"
"ERR4682465","WGS","PRJEB40815","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428372","0.9","2017-12-21","0.11","China","NP","wastewater metagenome"
"ERR1713355","WGS","PRJEB13831","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4527623","0.9","2016-02-01","0.11","Ethiopia","NP","wastewater metagenome"
"ERR2592252","WGS","PRJEB13831","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4527613","0.9","2016-01-25","0.11","uncalculated","NP","wastewater metagenome"
"SRR8554882","WGS","PRJNA518255","https://www.ncbi.nlm.nih.gov/biosample/SAMN10864097","0.95","2016-10-24","0.35","USA","[38.5,-121.7]","rhizosphere metagenome"
"SRR17771278","WGS","PRJNA799781","https://www.ncbi.nlm.nih.gov/biosample/SAMN25209161","0.91","NP","0.13","Costa Rica","[8.4045,-80.8037]","hot springs metagenome"
"SRR9924792","WGS","PRJNA559231","https://www.ncbi.nlm.nih.gov/biosample/SAMN12530107","0.93","2014-10-01","0.2","China","[28.25,103.66]","freshwater sediment metagenome"
"SRR16085948","OTHER","PRJNA766619","https://www.ncbi.nlm.nih.gov/biosample/SAMN21855247","0.94","2019-08-20","0.25","China","[""missing""]","soil metagenome"
"ERR4837092","WGS","PRJEB41174","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7573927","0.91","NP","0.14","Greenland","NP","soil metagenome"
"SRR7969289","WGS","PRJNA469306","https://www.ncbi.nlm.nih.gov/biosample/SAMN09094039","0.9","2017-07-10","0.11","USA","[44.23,-122.22]","soil metagenome"
"SRR8438006","WGS","PRJNA502475","https://www.ncbi.nlm.nih.gov/biosample/SAMN10350913","0.92","2017-06-28","0.16","USA","[40.4449,-87.0297]","soil metagenome"
"SRR5468420","WGS","PRJNA367374","https://www.ncbi.nlm.nih.gov/biosample/SAMN06267048","0.91","2015-03-10","0.13","USA","[47.0956,-99.1001]","freshwater sediment metagenome"
"ERR3200800","WGS","PRJEB31441","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5382945","0.94","NP","0.26","NP","NP","uncultured bacterium"
