Strain_ID,Bioassay_ID,Host_ID,Host_Category,Host_Description,Media_Type,Date_Innoculated,Bioassay_Date,Username,Bioassay_Type,Pathogen_Name,Pathogen_Only_Control,Bioassay_Activity,Bioassay_Notes,Notes,original.score,score.classification,simplified.score,Genus,species
LK1003,BID16908,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Proteus vulgaris - PID24,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16900,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Micrococcus luteus - PID19,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16901,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterococcus faecalis - PID41,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16917,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Aspergillus flavus - PID14,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16915,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Metarhizium sp. - PID43,no,no,path didn't grow,,-1,no data,-1,Staphylococcus,
LK1003,BID16909,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Serratia marcescens 8055 - PID31,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16910,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Acinetobacter baumannii - PID42,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16911,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Cryptococcus neoformans (H99) - PID49,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16912,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida albicans (K1) - PID39,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16903,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16914,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichosporon asahii - PID56,yes,yes,,,2,zone of inhibition,1,Staphylococcus,
LK1003,BID16904,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa 27873 - PID25,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16916,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichoderma sp. - PID44,yes,yes,,,3,complete inhibition,2,Staphylococcus,
LK1003,BID16898,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Norcardia corynebacteroides - PID5,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1003,BID16913,p3-HID212,Human,Volar forearm,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida sp. - PID36,yes,no,,,1,no inhibition,0,Staphylococcus,
LK1004,BID16936,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida albicans (K1) - PID39,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16934,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Acinetobacter baumannii - PID42,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16935,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Cryptococcus neoformans (H99) - PID49,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16940,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichoderma sp. - PID44,yes,yes,,,3,complete inhibition,2,Micrococcus,
LK1004,BID16937,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida sp. - PID36,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16933,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Serratia marcescens 8055 - PID31,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16932,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Proteus vulgaris - PID24,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16918,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus aureus (MRSA) - PID40,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16919,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus cereus - PID30,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16920,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus subtilis - PID29,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16927,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16938,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichosporon asahii - PID56,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16941,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Aspergillus flavus - PID14,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16926,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Escherichia coli - PID37,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16931,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Citrobacter freundii - PID22,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16939,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Metarhizium sp. - PID43,no,no,path didn't grow,,-1,no data,-1,Micrococcus,
LK1004,BID16924,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Micrococcus luteus - PID19,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16925,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterococcus faecalis - PID41,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16929,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterobacter cloacae - PID17,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16930,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Klebsiella oxytoca - PID21,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16928,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa 27873 - PID25,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16922,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Norcardia corynebacteroides - PID5,yes,no,,,1,no inhibition,0,Micrococcus,
LK1004,BID16923,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus epidermidis - PID18,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1004,BID16921,p3-HID221,Human,Antecubital fossa,Brain Heart Infusion,2020-07-14,2020-07-21,,,Mycobacterium smegmatis - PID1,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16943,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus cereus - PID30,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16949,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterococcus faecalis - PID41,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16950,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Escherichia coli - PID37,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1005,BID16942,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus aureus (MRSA) - PID40,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16952,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa 27873 - PID25,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16946,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Norcardia corynebacteroides - PID5,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16944,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Bacillus subtilis - PID29,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16953,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Enterobacter cloacae - PID17,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16945,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Mycobacterium smegmatis - PID1,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1005,BID16960,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida albicans (K1) - PID39,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1005,BID16963,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Metarhizium sp. - PID43,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16961,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Candida sp. - PID36,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16954,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Klebsiella oxytoca - PID21,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16951,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16959,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Cryptococcus neoformans (H99) - PID49,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16958,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Acinetobacter baumannii - PID42,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16948,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Micrococcus luteus - PID19,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16962,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichosporon asahii - PID56,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16955,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Citrobacter freundii - PID22,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16965,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Aspergillus flavus - PID14,yes,no,,,0,no inhibition,0,Micrococcus,
LK1005,BID16964,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Trichoderma sp. - PID44,yes,yes,,,3,complete inhibition,2,Micrococcus,
LK1005,BID16947,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Staphylococcus epidermidis - PID18,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16957,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Serratia marcescens 8055 - PID31,yes,no,,,1,no inhibition,0,Micrococcus,
LK1005,BID16956,p3-HID208,Human,Alar crease,Brain Heart Infusion,2020-07-14,2020-07-21,,,Proteus vulgaris - PID24,yes,yes,,,2,zone of inhibition,1,Micrococcus,
LK1006,BID16966,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16967,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16968,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus subtilis - PID29,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1,Dietzia,cinnamea
LK1006,BID16969,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Dietzia,cinnamea
LK1006,BID16970,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Norcardia corynebacteroides - PID5,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2,Dietzia,cinnamea
LK1006,BID16971,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus epidermidis - PID18,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1,Dietzia,cinnamea
LK1006,BID16972,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Micrococcus luteus - PID19,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1,Dietzia,cinnamea
LK1006,BID16973,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16974,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16975,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16976,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
LK1006,BID16977,p3-HID224,Human,Alar crease,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0,Dietzia,cinnamea
