Bioassay_ID,Host_ID,Host_Category,Host_Description,Strain_ID,Media_Type,Date_Innoculated,Bioassay_Date,Username,Bioassay_Type,Pathogen_Name,Pathogen_Only_Control,Bioassay_Activity,Bioassay_Notes,Notes,original score,score classification,simplified score
BID8024,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8025,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8026,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8027,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8028,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8029,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8030,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8031,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Proteus vulgaris - PID24,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8032,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8033,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8034,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8035,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida albicans (K1) - PID39,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8036,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida sp. - PID36,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8037,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichosporon asahii - PID56,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8038,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Metarhizium sp. - PID43,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8039,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichoderma sp. - PID44,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8040,p3-HID132,Human,Occiput,LK419,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Aspergillus flavus - PID14,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8113,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8114,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8115,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Bacillus subtilis - PID29,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8116,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8117,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Norcardia corynebacteroides - PID5,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8118,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Staphylococcus epidermidis - PID18,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8119,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8120,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8121,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8122,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8123,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8124,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8125,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8126,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8127,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Proteus vulgaris - PID24,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8128,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8129,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8130,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8131,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida albicans (K1) - PID39,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8132,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Candida sp. - PID36,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8133,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichosporon asahii - PID56,yes,yes,,Media: BHI + 0.1% Tween 80,2,zone of inhibition,1
BID8134,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Metarhizium sp. - PID43,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8135,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Trichoderma sp. - PID44,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8136,p3-HID113,Human,Toe web space,LK421,Brain Heart Infusion,2020-02-19,2020-02-26,MR,Cell,Aspergillus flavus - PID14,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8881,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8882,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8883,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus subtilis - PID29,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8884,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8885,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Norcardia corynebacteroides - PID5,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8886,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus epidermidis - PID18,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8887,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8888,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8889,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8890,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8891,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8892,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8893,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8894,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8895,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Proteus vulgaris - PID24,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8896,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8897,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8898,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8899,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida albicans (K1) - PID39,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID8900,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida sp. - PID36,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8901,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichosporon asahii - PID56,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID8902,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Metarhizium sp. - PID43,no,no,,Media: BHI + 0.1% Tween 80,-1,no data,-1
BID8903,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichoderma sp. - PID44,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID8904,p3-HID154,Human,Alar crease,LK439,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Aspergillus flavus - PID14,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9025,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID9026,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9027,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus subtilis - PID29,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID9028,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID9029,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Norcardia corynebacteroides - PID5,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9030,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus epidermidis - PID18,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID9031,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9032,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9033,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Escherichia coli - PID37,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9034,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa (PAO1) - PID38,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9035,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Pseudomonas aeruginosa 27873 - PID25,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9036,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterobacter cloacae - PID17,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9037,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Klebsiella oxytoca - PID21,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9038,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Citrobacter freundii - PID22,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9039,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Proteus vulgaris - PID24,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9040,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Serratia marcescens 8055 - PID31,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9041,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Acinetobacter baumannii - PID42,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9042,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Cryptococcus neoformans (H99) - PID49,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID9043,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida albicans (K1) - PID39,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID9044,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Candida sp. - PID36,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID9045,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichosporon asahii - PID56,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID9046,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Metarhizium sp. - PID43,no,no,,Media: BHI + 0.1% Tween 80,-1,no data,-1
BID9047,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Trichoderma sp. - PID44,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID9048,p3-HID123,Human,Nare,LK442,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Aspergillus flavus - PID14,yes,no,,Media: BHI + 0.1% Tween 80,0,no inhibition,0
BID10078,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus aureus (MRSA) - PID40,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID10079,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus cereus - PID30,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID10080,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Bacillus subtilis - PID29,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID10081,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Mycobacterium smegmatis - PID1,yes,yes,,Media: BHI + 0.1% Tween 80,3,complete inhibition,2
BID10082,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Norcardia corynebacteroides - PID5,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID10083,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Staphylococcus epidermidis - PID18,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID10084,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Micrococcus luteus - PID19,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
BID10085,p3-HID139,Human,Nare,LK469,Brain Heart Infusion,2020-01-30,2020-02-05,MR,Cell,Enterococcus faecalis - PID41,yes,no,,Media: BHI + 0.1% Tween 80,1,no inhibition,0
