n	n:500	L50	min	N75	N50	N25	E-size	max	sum	name
1219	1219	293	1001	2632	4415	7287	5585	24703	4239134	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.10.fasta
242	242	46	1011	5457	10816	19035	12805	34220	1621643	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.2.fasta
42	42	8	2174	50776	79737	289817	147887	416005	2446916	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.3.fasta
191	191	43	1590	8119	13785	20756	15793	47906	1841644	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.4.fasta
263	263	58	1261	7708	14397	22317	16245	44659	2561903	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.5.fasta
163	163	24	1301	22697	47550	71473	66099	265020	3848805	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.6.fasta
312	312	67	1497	3983	7619	13782	10578	39318	1777987	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.7.fasta
425	425	123	1500	2483	3463	5459	4542	16968	1393379	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.8.fasta
45	45	10	2390	66385	91547	122500	92038	175253	2375852	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-07_S11_bin.9.fasta
82	82	15	1678	25775	48944	82193	57565	144227	2355542	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-08_S12_bin.1.fasta
664	664	204	1001	1531	2145	3226	2829	13121	1359878	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-08_S12_bin.2.fasta
186	186	24	1014	16995	33299	67006	40597	118673	2553957	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-08_S12_bin.3.fasta
76	76	17	1991	19386	39570	63029	43016	91080	1984666	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-08_S12_bin.4.fasta
1539	1539	460	1001	1599	2373	3556	2871	12742	3312779	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-08_S12_bin.5.fasta
725	725	173	1006	2196	3689	6264	5510	31613	2216808	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.1.fasta
135	135	24	1589	14987	27102	43294	32161	80188	2079650	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.2.fasta
144	144	26	1595	14135	26660	47102	32578	82747	2315898	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.3.fasta
21	21	3	1601	74641	126261	514147	234244	514147	1568613	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.4.fasta
68	68	12	2378	65249	144404	214282	152273	399227	5027035	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.5.fasta
42	42	5	1057	35488	60542	119682	109703	298639	1309097	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.6.fasta
440	440	100	1012	3708	6129	10158	7652	23961	1989287	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-09_S13_bin.8.fasta
175	175	38	1017	5744	9204	16886	11515	35520	1161882	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-10_S14_bin.1.fasta
27	27	3	2779	67172	182514	285099	176783	337059	1570049	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-10_S14_bin.2.fasta
221	221	49	1595	7954	14168	23595	16734	57018	2179847	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-10_S14_bin.3.fasta
304	304	67	1540	5498	9183	15524	12724	47759	2109635	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.1.fasta
717	717	234	991	1372	1890	2734	2280	7852	1304922	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.2.fasta
94	94	19	2096	12484	23852	40063	30626	98077	1461448	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.3.fasta
110	110	22	1409	13298	23549	42007	33692	113908	1826492	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.4.fasta
138	138	27	1515	14136	23913	40806	29142	76801	2120474	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.5.fasta
236	236	45	1528	6139	11762	21588	14090	36087	1786143	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.6.fasta
26	26	3	1072	92888	255191	514263	272715	514263	1625058	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-11_S15_bin.7.fasta
217	217	49	1027	5639	10202	16084	11482	28538	1521508	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-12_S16_bin.1.fasta
24	24	4	7329	115521	185507	342412	275304	614072	2469205	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-12_S16_bin.2.fasta
729	729	195	1001	1917	3207	4851	3712	11170	1911986	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-12_S16_bin.3.fasta
839	839	235	1001	1594	2359	3773	3189	14764	1829864	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-13_S17_bin.1.fasta
541	541	126	1005	3102	5246	8873	6981	31462	2192082	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-14_S18_bin.1.fasta
95	95	17	1953	21527	42106	65183	58864	221540	2354424	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-14_S18_bin.2.fasta
643	643	148	1002	2647	4851	7657	5712	18196	2255839	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-14_S18_bin.3.fasta
84	84	12	1142	14048	39106	67697	49468	158956	1563392	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-14_S18_bin.4.fasta
681	681	161	1511	5099	8584	13447	9859	32990	4244242	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-14_S18_bin.5.fasta
36	36	6	3106	54485	125098	217371	145645	316305	2439415	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.1.fasta
116	116	23	1538	16690	24261	44058	31999	99116	1905758	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.2.fasta
200	200	39	1506	5271	11206	18971	14542	67129	1423764	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.3.fasta
70	70	14	1582	26643	45165	88618	50895	119015	1866203	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.4.fasta
87	87	12	1286	18166	49385	68119	51421	141295	1656368	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.5.fasta
1516	1516	444	1001	1685	2558	3877	3018	11564	3443718	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.6.fasta
65	65	10	1013	40814	93515	126116	88315	193475	2444010	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-15_S19_bin.7.fasta
17	17	3	1833	90479	183945	519415	267087	519415	1620684	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-17_S21_bin.1.fasta
507	507	151	1505	2590	3909	5923	4627	16546	1784280	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-17_S21_bin.2.fasta
92	92	20	1046	10930	20909	32355	22871	55677	1226288	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-17_S21_bin.3.fasta
557	557	195	1501	1878	2412	3414	2886	8833	1353451	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-17_S21_bin.4.fasta
31	31	6	2359	62116	160249	239897	169600	418297	2501611	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-17_S21_bin.5.fasta
327	327	82	1505	5019	7895	13289	10012	39052	2121160	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-18_S22_bin.1.fasta
208	208	43	1518	9681	19146	26419	20669	58625	2411794	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-18_S22_bin.2.fasta
599	599	175	997	1599	2367	3809	3028	10944	1317598	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-18_S22_bin.3.fasta
458	458	124	1003	2093	3317	5313	4104	19125	1287957	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-18_S22_bin.4.fasta
140	140	27	1383	11581	22024	36429	27939	96915	1960029	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.1.fasta
906	906	323	1001	1244	1555	2170	1867	6496	1437951	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.2.fasta
332	332	80	1037	4254	7535	12015	9091	29633	1878308	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.3.fasta
94	94	12	1026	13164	34977	68147	52726	159821	1584207	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.4.fasta
343	343	82	1026	3327	5324	8751	6739	27101	1418081	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.5.fasta
321	321	74	1503	5839	9181	14993	11666	42163	2240701	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.6.fasta
825	825	187	1009	4536	7609	12035	9401	33844	4593593	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.7.fasta
162	162	27	1013	16899	27658	47392	36701	148599	2475851	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-19_S23_bin.8.fasta
505	505	134	1506	3004	4907	7807	5784	17380	2053091	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-20_S24_bin.1.fasta
434	434	105	1500	3671	6239	10117	8113	37800	2146862	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-20_S24_bin.2.fasta
274	274	57	1511	6565	11890	19103	14831	57693	2172061	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-21_S25_bin.1.fasta
803	803	210	1004	1921	3107	5146	3933	16640	2122601	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-21_S25_bin.2.fasta
726	726	175	1505	4609	7641	12211	9418	36199	4272499	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-21_S25_bin.3.fasta
517	517	164	1506	2315	3281	4673	3928	14241	1583248	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-22_S26_bin.1.fasta
183	183	44	1611	8374	13838	21258	17200	54536	1958274	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-22_S26_bin.2.fasta
1181	1181	357	1001	1373	2043	3126	2544	10864	2273186	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-22_S26_bin.3.fasta
295	295	60	1297	13452	24642	37125	30024	111761	4745760	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-22_S26_bin.4.fasta
499	499	153	1500	2211	3124	4972	3870	12865	1477869	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-22_S26_bin.5.fasta
34	34	7	4918	64842	110039	145364	122044	279131	2105062	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.1.fasta
155	155	42	2321	8057	12955	19536	14679	41025	1616678	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.2.fasta
125	125	22	1506	13133	22869	51993	36306	120596	1961178	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.3.fasta
45	45	4	1301	60266	175215	395988	241978	550839	2612900	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.4.fasta
489	489	158	995	1491	2120	3042	2453	9518	961216	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.5.fasta
130	130	31	2272	14440	26259	39930	28488	67206	2343379	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.6.fasta
52	52	9	1622	37258	68381	113027	88450	261854	1961295	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.7.fasta
72	72	13	2956	30171	49682	100122	62694	137626	2170155	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.8.fasta
588	588	171	995	1426	2141	3436	2731	9631	1189018	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-23_S27_bin.9.fasta
729	729	186	1009	2450	3984	6414	5285	23043	2428086	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.1.fasta
109	109	20	1013	14195	25045	37731	27971	60197	1546849	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.10.fasta
23	23	6	14061	95873	130342	187447	141673	279367	2166967	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.2.fasta
37	37	5	2571	90227	223783	281032	186599	352743	2712436	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.4.fasta
327	327	67	1500	4166	8110	14847	10281	32601	1846318	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.5.fasta
1186	1186	347	987	1312	1908	3048	3082	29717	2208862	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.6.fasta
438	438	134	1495	2614	3772	5236	4879	30448	1483253	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.8.fasta
361	361	83	1534	5111	8613	14569	10414	38200	2303266	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-25_S29_bin.9.fasta
36	36	4	1223	36026	170263	256533	150174	284785	1628973	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-26_S30_bin.1.fasta
65	65	6	1018	51098	117734	216571	161177	397889	2643211	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-26_S30_bin.2.fasta
374	374	93	1508	3827	6477	10690	7855	22761	1927213	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-26_S30_bin.3.fasta
776	776	200	1003	1853	3113	5145	3968	21535	2014570	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-26_S30_bin.4.fasta
767	767	209	996	2018	3138	4807	3798	12479	2042120	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-27_S31_bin.1.fasta
129	129	26	1632	13982	22905	40994	29332	99837	1947049	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-28_S32_bin.1.fasta
105	105	17	1824	18398	38917	71941	65228	243471	2361920	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-28_S32_bin.2.fasta
93	93	21	1634	14827	26574	37199	25534	54052	1490202	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-28_S32_bin.3.fasta
605	605	166	995	1993	3027	4547	3866	17984	1583737	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-28_S32_bin.4.fasta
577	577	145	1003	1581	2600	4864	3708	17073	1338686	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-29_S33_bin.1.fasta
83	83	16	1582	28338	50177	81224	58880	168354	2429013	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-29_S33_bin.2.fasta
412	412	90	1513	9792	16454	25998	19218	53465	4671166	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-29_S33_bin.3.fasta
416	416	101	1032	4320	7258	11339	8446	31210	2280106	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-30_S34_bin.1.fasta
216	216	37	1068	6016	13315	24814	18046	67166	1701305	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.1.fasta
903	903	314	1003	1242	1624	2286	1942	6395	1472129	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.2.fasta
191	191	34	1623	10247	17728	33527	23020	76709	2137702	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.3.fasta
1487	1487	479	983	1397	1922	2910	2342	9094	2771810	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.4.fasta
361	361	127	1503	2184	2876	4004	3216	8978	997485	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.5.fasta
287	287	51	1004	5065	10615	21032	14262	47386	1967856	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-31_S35_bin.6.fasta
60	60	13	2587	22204	36573	53134	39013	90630	1341842	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.1.fasta
206	206	54	1049	4969	7658	13239	9009	21930	1258359	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.10.fasta
296	296	50	1007	6770	14428	25343	18309	61034	2395649	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.11.fasta
261	261	75	1563	3991	6058	9203	6967	23184	1357756	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.12.fasta
23	23	4	3219	112642	170273	242244	160255	254977	1597911	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.13.fasta
46	46	8	1018	35139	51641	91691	92797	279896	1490869	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.14.fasta
98	98	20	1246	14318	24645	38435	27548	55583	1525152	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.15.fasta
159	159	30	1066	9091	17827	33591	21193	48460	1742155	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.16.fasta
162	162	27	1071	7235	14313	25090	21057	73859	1342855	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.17.fasta
101	101	25	1658	19574	29375	44775	33613	73864	2149515	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.18.fasta
60	60	13	1702	24097	39313	73953	46880	99462	1610519	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.19.fasta
105	105	23	1928	10154	18493	28707	20957	47360	1327749	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.2.fasta
151	151	30	1622	8538	14391	29038	18327	41190	1531401	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.20.fasta
176	176	23	1000	10887	25120	45688	30773	95766	1945051	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.21.fasta
82	82	12	1654	17490	37309	92607	68881	243076	1717618	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.22.fasta
32	32	7	1581	92341	136642	208135	156344	340850	2482466	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.23.fasta
44	44	8	1059	27920	49243	101486	70739	181679	1416795	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.24.fasta
28	28	5	1416	64587	108524	200748	131671	235290	1561614	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.25.fasta
470	470	130	1002	1868	2978	4661	3545	11882	1189871	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.26.fasta
308	308	83	1509	3880	5798	9732	7239	26030	1510204	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.27.fasta
175	175	48	1543	5367	8378	12990	9680	34805	1184175	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.28.fasta
85	85	15	1082	21089	34577	70039	42634	111995	1629937	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.29.fasta
385	385	127	1001	1338	1836	2768	2141	5509	683001	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.3.fasta
26	26	5	3336	66945	125325	164540	158221	352856	1653161	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.30.fasta
475	475	127	1506	3456	5413	8631	6705	22293	2175332	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.31.fasta
586	586	148	1009	2256	3770	6405	5103	33196	1831192	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.32.fasta
51	51	12	1772	9336	14561	29207	20302	61164	570026	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.33.fasta
351	351	56	1030	4000	9184	17906	12343	39772	1897711	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.34.fasta
233	233	64	1042	4137	6527	10259	7575	22680	1226563	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.4.fasta
221	221	41	1619	8328	16460	33487	23629	83850	2486672	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.5.fasta
77	77	13	1060	20655	33197	72587	50435	157837	1651232	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.6.fasta
309	309	73	1144	6504	11192	17674	13615	45487	2592688	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.7.fasta
86	86	11	1424	21948	56789	99606	77633	245316	2207064	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.8.fasta
212	212	46	1562	9677	17861	26934	19306	52377	2401472	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-32_S36_bin.9.fasta
417	417	89	1040	3775	6275	10782	8642	37445	1914182	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-33_S37_bin.1.fasta
76	76	11	1121	39671	75567	113708	89882	244125	2442451	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-33_S37_bin.2.fasta
462	462	112	1505	3170	5218	8764	7377	31906	2003318	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-33_S37_bin.3.fasta
145	145	22	1538	16592	33216	53900	36029	85658	2252548	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-33_S37_bin.4.fasta
357	357	72	1052	10628	20024	30573	27394	160932	4727323	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-33_S37_bin.5.fasta
18	18	2	1346	89860	285179	514132	266529	514132	1577814	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-34_S38_bin.1.fasta
73	73	14	1450	27272	50767	82117	59720	145968	2181480	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-34_S38_bin.2.fasta
53	53	8	1638	47167	78422	154368	100609	216901	2308728	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-34_S38_bin.3.fasta
676	676	171	1001	2250	3653	5918	4703	23142	2044399	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-34_S38_bin.4.fasta
62	62	11	1736	16105	41454	55282	42663	114869	1224910	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-34_S38_bin.5.fasta
599	599	179	992	1470	2139	3258	3016	25577	1192597	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-36_S40_bin.1.fasta
21	21	3	8960	193628	223406	779609	361834	779609	2520360	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-36_S40_bin.2.fasta
108	108	19	1021	14306	26112	40402	30942	75377	1597713	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-36_S40_bin.3.fasta
24	24	4	2107	118806	223364	298509	295835	633062	2545322	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-37_S41_bin.1.fasta
652	652	196	1001	1502	2209	3339	2742	11273	1332658	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-37_S41_bin.2.fasta
638	638	202	999	1378	1914	2858	2442	9483	1189808	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-37_S41_bin.3.fasta
546	546	111	1006	7587	12443	21531	17201	97841	4685901	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-37_S41_bin.4.fasta
370	370	89	1021	3177	5204	8490	6463	32450	1475241	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-37_S41_bin.5.fasta
929	929	207	1001	3818	6487	10754	8064	31624	4404707	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-38_S42_bin.1.fasta
351	351	83	1032	3556	5831	9213	7133	20324	1545803	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-38_S42_bin.2.fasta
321	321	62	1003	4028	8475	13658	9832	31939	1692671	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-38_S42_bin.3.fasta
63	63	9	1126	43778	79060	177040	113463	274346	2550809	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-38_S42_bin.4.fasta
693	693	242	1001	1275	1658	2294	1951	5372	1145077	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.1.fasta
507	507	161	1002	1522	2077	3143	2575	8707	1013712	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.2.fasta
50	50	9	2359	43894	67506	164968	132817	419061	2491535	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.3.fasta
156	156	27	1042	10097	21076	35486	24754	76582	1765960	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.4.fasta
526	526	114	1007	7007	11882	20831	15943	60925	4582714	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.5.fasta
589	589	187	1503	2170	3076	4654	3664	11900	1718537	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-39_S43_bin.6.fasta
518	518	101	1004	2655	4947	10603	8150	54564	1905488	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-40_S44_bin.1.fasta
297	297	62	1061	13708	22690	37011	31546	161313	4767249	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-40_S44_bin.2.fasta
116	116	19	1017	22826	34800	67745	65639	284458	2432639	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-40_S44_bin.3.fasta
471	471	126	1504	3237	4927	8017	6160	21062	1983200	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-40_S44_bin.4.fasta
75	75	15	1981	12425	19650	50054	30793	86287	1199967	MetaSPAdes_MegaWRAP_MAGs/LKMB002-1-40_S44_bin.5.fasta
