sample	MAG quality	CheckM2 - completeness	CheckM2 - contamination	N50 (abyss-fac)	Genome Size	Distinct tRNAs	Distinct rRNAs (max 3)	Potentially Novel Species	Potentially Novel and Not Matching SMGC or EPIC isolate	Matches EPIC isolate at >95.0% ANI and >20% Proportion Fragments Aligned	Matches SMGC at >95.0% ANI and >20% Proportion Fragments Aligned	GTDB R202	closest SMGC hit	closest SMGC hit - ANI	closest SMGC hit - Proportion Fragments Aligned	closest EPIC isolate hit	closest EPIC isolate hit - ANI	closest EPIC isolate hit - Proportion Fragments Aligned
LKMB002-1-31_S35_bin.1	medium	88.93	0.51	13315	1701305	9	0	True	True	False	False	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	SMGC_336	94.218	0.8496732026143791	NA	0.0	0.0
LKMB002-1-31_S35_bin.6	medium	99.02	1.92	10615	1967856	16	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	SMGC_538	99.6865	0.9108910891089109	NA	0.0	0.0
LKMB002-1-32_S36_bin.1	medium	90.28	0.2	36573	1341842	13	0	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C pacaensis	SMGC_378	95.4087	0.5216346153846154	NA	0.0	0.0
LKMB002-1-32_S36_bin.10	low	77.6	0.2	7658	1258359	8	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei	SMGC_331	94.4105	0.9131832797427653	NA	0.0	0.0
LKMB002-1-32_S36_bin.14	medium	99.65	0.27	51641	1490869	14	1	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__Fenollaria sp900539725	SMGC_385	94.9673	0.7773109243697479	NA	0.0	0.0
LKMB002-1-32_S36_bin.15	medium	98.65	0.32	24645	1525152	23	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__;g__;s__	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-32_S36_bin.18	medium	99.87	0.03	29375	2149515	21	0	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica	SMGC_284	97.8457	0.6596701649175413	NA	0.0	0.0
LKMB002-1-32_S36_bin.19	medium	99.93	0.26	39313	1610519	16	0	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__Ezakiella coagulans	SMGC_131	97.8593	0.695049504950495	NA	0.0	0.0
LKMB002-1-32_S36_bin.20	medium	95.19	0.02	14391	1531401	11	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinicoccus;s__Urinicoccus sp001299455	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-32_S36_bin.22	medium	98.98	0.0	37309	1717618	22	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella;s__	SMGC_103	98.0342	0.952561669829222	NA	0.0	0.0
LKMB002-1-32_S36_bin.24	medium	99.74	0.02	49243	1416795	19	0	True	True	False	False	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae;g__;s__	SMGC_435	78.7768	0.062360801781737196	NA	0.0	0.0
LKMB002-1-32_S36_bin.25	medium	99.34	0.04	108524	1561614	22	0	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Levyella;s__Levyella massiliensis	SMGC_375	98.2273	0.8503937007874016	NA	0.0	0.0
LKMB002-1-32_S36_bin.26	low	62.29	5.32	2978	1189871	8	0	True	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__	SMGC_13	97.5219	0.935064935064935	NA	0.0	0.0
LKMB002-1-32_S36_bin.28	low	78.87	0.8	8378	1184175	8	0	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis	SMGC_125	98.4302	0.7114754098360656	NA	0.0	0.0
LKMB002-1-32_S36_bin.29	medium	97.56	1.44	34577	1629937	14	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C sp902363535	SMGC_378	84.8328	0.4311377245508982	NA	0.0	0.0
LKMB002-1-32_S36_bin.30	medium	99.98	2.78	125325	1653161	16	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__Ezakiella massiliensis	SMGC_127	89.9621	0.7970204841713222	NA	0.0	0.0
LKMB002-1-32_S36_bin.32	low	71.34	1.8	3770	1831192	16	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__	SMGC_16	78.2041	0.40863787375415284	NA	0.0	0.0
LKMB002-1-32_S36_bin.6	medium	99.28	0.18	33197	1651232	23	0	False	False	False	False	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus;s__Peptococcus niger	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-32_S36_bin.7	medium	88.08	0.46	11192	2592688	16	0	False	False	False	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bergensis	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-32_S36_bin.8	medium	99.94	0.65	56789	2207064	22	0	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	SMGC_282	97.3162	0.9063400576368876	NA	0.0	0.0
LKMB002-1-32_S36_bin.9	medium	96.34	0.36	17861	2401472	20	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_155	93.3762	0.9366906474820144	NA	0.0	0.0
LKMB002-1-34_S38_bin.5	medium	100.0	0.01	41454	1224910	21	0	True	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	SMGC_156	99.8464	0.9919786096256684	NA	0.0	0.0
LKMB002-1-38_S42_bin.2	low	95.91	2.18	5831	1545803	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale	SMGC_527	98.0999	0.9637462235649547	NA	0.0	0.0
LKMB002-1-43_S47_bin.2	medium	100.0	0.1	338353	2582222	23	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	SMGC_212	96.9886	0.7488151658767772	LK948	97.5141	0.9146919431279621
LKMB002-1-48_S52_bin.1	low	86.43	2.11	5713	1854221	21	2	False	False	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense_A	SMGC_123	88.144	0.8417085427135679	NA	0.0	0.0
LKMB002-1-48_S52_bin.13	medium	99.94	0.2	44946	2664017	21	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium glucuronolyticum	SMGC_292	98.1425	0.8064133016627079	LK935	98.3017	0.9144893111638955
LKMB002-1-49_S53_bin.2	medium	99.83	0.07	92420	2214033	19	1	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pettenkoferi	SMGC_353	98.6992	0.803894297635605	LK415	78.4283	0.22531293463143254
LKMB002-1-56_S55_bin.1	medium	98.38	0.18	30108	2232330	22	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__Dermabacter hominis	SMGC_33	95.7205	0.8636363636363636	LK557	99.9397	0.9824046920821115
LKMB002-1-56_S55_bin.7	medium	99.98	0.15	140914	2439547	22	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp013978595	SMGC_76	95.3914	0.9006289308176101	LK930	85.5787	0.7685534591194969
LKMB002-1-58_S57_bin.1	medium	100.0	0.44	27104	4725414	22	0	False	False	False	False	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_A;s__Acidovorax_A wautersii	SMGC_594	81.1128	0.3104166666666667	NA	0.0	0.0
LKMB002-1-62_S61_bin.2	low	88.93	7.6	5808	2068978	10	1	True	True	False	False	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	SMGC_200	93.1417	0.5971563981042654	NA	0.0	0.0
LKMB002-1-62_S61_bin.5	low	86.04	1.81	6690	2264465	20	0	True	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__F0040;s__	SMGC_1	97.4608	0.9493927125506073	NA	0.0	0.0
LKMB002-1-65_S64_bin.1	medium	100.0	0.38	52339	2471276	24	2	True	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__	SMGC_280	99.017	0.8331210191082803	NA	0.0	0.0
LKMB002-1-65_S64_bin.2	medium	99.7	0.06	50882	1914405	23	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Gulosibacter;s__	SMGC_505	79.5559	0.4577114427860697	LK1279	77.9961	0.20729684908789386
LKMB002-1-65_S64_bin.5	medium	99.98	0.16	102165	1956512	21	0	False	False	False	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cruoricaptor;s__Cruoricaptor ignavus	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-65_S64_bin.9	low	78.5	1.58	6788	1955310	19	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__	SMGC_309	78.1344	0.23555555555555555	LK1188	78.1136	0.28444444444444444
LKMB002-1-73_S72_bin.1	medium	96.19	1.21	21338	2070866	23	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense_B	SMGC_123	98.1731	0.9307568438003221	NA	0.0	0.0
LKMB002-1-73_S72_bin.10	medium	99.61	0.05	33132	1794311	22	0	True	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	SMGC_281	97.8884	0.7886323268206039	NA	0.0	0.0
LKMB002-1-73_S72_bin.16	medium	88.85	0.08	37317	2412654	17	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium pyruviciproducens	SMGC_164	98.6838	0.8378016085790885	LK488	81.5697	0.5857908847184986
LKMB002-1-73_S72_bin.21	medium	99.87	0.02	56895	1342956	21	0	False	False	False	True	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae;g__Negativicoccus;s__Negativicoccus sp900556745	SMGC_435	97.9534	0.24121779859484777	NA	0.0	0.0
LKMB002-1-73_S72_bin.22	medium	100.0	0.28	34042	2361309	16	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium amycolatum_A	SMGC_338	97.8017	0.9480874316939891	LK444	97.7229	0.9467213114754098
LKMB002-1-73_S72_bin.9	low	87.4	0.03	6854	2524601	18	0	False	False	False	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccalis	SMGC_321	94.4225	0.688026981450253	NA	0.0	0.0
LKMB002-1-74_S73_bin.3	medium	98.75	0.05	108454	2083453	15	1	False	False	True	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	SMGC_244	99.3165	0.9747023809523809	LK417	99.2543	0.9747023809523809
LKMB002-1-74_S73_bin.4	low	77.4	1.76	3176	4375555	17	2	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia bronchialis	SMGC_487	97.9521	0.897822445561139	LK1054	80.694	0.592964824120603
LKMB002-1-74_S73_bin.6	medium	99.96	0.04	101575	2403059	23	1	True	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_122	98.3163	0.9068877551020408	LK1289	98.0539	0.9145408163265306
LKMB002-1-74_S73_bin.7	low	86.59	2.8	7969	2141548	3	0	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus devriesei_A	SMGC_240	99.9691	0.959758551307847	LK428	79.9635	0.5714285714285714
LKMB002-1-81_S80_bin.6	medium	99.49	0.05	23205	1910088	20	0	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A bennonis	SMGC_215	96.1527	0.8194444444444444	NA	0.0	0.0
LKMB002-1-82_S81_bin.2	medium	92.65	1.79	22673	2514445	9	3	False	False	False	True	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri_A	SMGC_357	99.2372	0.9463548830811555	LK413	94.1026	0.9050894085281981
LKMB002-1-84_S83_bin.1	medium	100.0	0.16	124431	2519323	22	0	True	True	False	False	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SMGC_86	85.2564	0.7095990279465371	LK561	84.7177	0.6828675577156743
LKMB002-1-89_S88_bin.10	medium	99.91	0.61	49815	1698287	23	0	False	False	False	True	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Jonquetella;s__Jonquetella anthropi	SMGC_379	99.0136	0.6616257088846881	NA	0.0	0.0
LKMB002-1-89_S88_bin.16	medium	99.91	0.89	15486	1844744	17	0	False	False	False	False	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus	SMGC_185	82.6002	0.017077798861480076	NA	0.0	0.0
LKMB002-1-89_S88_bin.17	low	75.01	2.08	3656	1514722	14	0	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__Varibaculum cambriense	SMGC_203	96.2748	0.7364016736401674	NA	0.0	0.0
LKMB002-1-89_S88_bin.19	medium	97.86	0.08	13593	1987532	20	0	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia	SMGC_347	99.0361	0.9209138840070299	NA	0.0	0.0
LKMB002-1-89_S88_bin.22	low	87.68	0.05	9228	1893135	19	0	True	True	False	False	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.23	medium	99.81	0.06	112672	1788936	18	0	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_F	SMGC_436	96.5101	0.5574614065180102	NA	0.0	0.0
LKMB002-1-89_S88_bin.25	medium	98.91	1.01	35549	1971154	17	0	False	False	False	False	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A seminalis	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.26	medium	99.81	0.2	32179	2902406	22	3	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis	SMGC_204	96.2062	0.8609501738122828	NA	0.0	0.0
LKMB002-1-89_S88_bin.27	low	92.45	0.63	7888	1759769	17	1	True	True	False	False	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Pyramidobacter;s__	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.29	low	81.56	0.05	3055	1075990	9	1	False	False	False	False	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B hominis	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.30	medium	97.76	0.11	29057	2256967	21	3	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae	SMGC_49	97.0604	0.8197674418604651	NA	0.0	0.0
LKMB002-1-89_S88_bin.31	low	77.55	1.17	5757	1241219	13	0	False	False	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinicoccus;s__Urinicoccus sp000221565	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.32	high	99.93	0.06	87870	1873951	21	3	False	False	False	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella;s__Lawsonella clevelandensis	SMGC_319	99.3498	0.9185059422750425	NA	0.0	0.0
LKMB002-1-89_S88_bin.33	low	92.68	0.29	6359	1415928	14	1	False	False	False	False	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900544275	NA	0.0	0.0	NA	0.0	0.0
LKMB002-1-89_S88_bin.6	low	95.1	0.33	7356	1603690	15	0	True	True	False	False	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__S5-A14a;s__	SMGC_50	84.421	0.5231607629427792	NA	0.0	0.0
LKMB002-1-89_S88_bin.7	medium	99.91	1.15	45294	2016669	20	2	False	False	False	True	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A grossensis	SMGC_418	96.1651	0.449685534591195	NA	0.0	0.0
LKMB002-1-89_S88_bin.8	medium	99.38	0.07	40807	2307362	22	2	False	False	False	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900548585	SMGC_52	98.857	0.7873799725651578	NA	0.0	0.0
LKMB002-1-89_S88_bin.9	medium	99.82	0.14	30693	1296530	22	0	False	False	False	False	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae;g__Negativicoccus;s__Negativicoccus succinicivorans	SMGC_435	93.5678	0.23017902813299232	NA	0.0	0.0
LKMB002-1-93_S92_bin.3	low	84.59	2.25	4407	2586352	20	0	False	False	False	True	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__Luteimonas sp004118975	SMGC_480	97.4194	0.8140495867768595	NA	0.0	0.0
LKMB002-1-93_S92_bin.6	medium	82.79	1.46	13068	2511127	19	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Citricoccus;s__Citricoccus terreus	SMGC_257	97.7065	0.8311111111111111	LK1176	98.2507	0.9496296296296296
LKMB002-1-94_S93_bin.3	medium	93.34	0.56	18419	1980811	21	0	False	False	True	True	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sanguinis	SMGC_256	98.8347	0.8538732394366197	LK672	99.285	0.9595070422535211
