BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000013	BGC0000013	TPA_asm: Aspergillus nidulans FGSC A4 chromosome IV	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000014	BGC0000014	Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds	NRPS-like.T1PKS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000016	BGC0000016	Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence		Others	Streptomyces nodosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000017	BGC0000017	Oscillatoria sp. PCC 6506 anatoxin-a and homoanatoxin-a biosynthetic gene cluster, complete sequence	T1PKS	PKSI	[Oscillatoria] sp. PCC 6506	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Kamptonema
BGC0000018	BGC0000018	Streptomyces eurythermus strain ATCC 23956 anglomycin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000019	BGC0000019	Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence		Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000020	BGC0000020	Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000021	BGC0000021	Nocardiopsis sp. FU40 apoptolidin gene cluster, complete sequence	T1PKS	PKSI	Amycolatopsis sp. FU40	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0000022	BGC0000022	Aspergillus nidulans FGSC A4 chromosome VIII ANcontig1.15, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000023	BGC0000023	Stigmatella aurantiaca aurafuron biosynthetic gene cluster, strain DW4/3-1	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella
BGC0000024	BGC0000024	Streptomyces thioluteus aureothin biosynthesis gene cluster (aurABCDEFGHI genes), strain HKI-22	T1PKS	PKSI	Streptomyces thioluteus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000025	BGC0000025	Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds		Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000026	BGC0000026	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	PKS-like.oligosaccharide.T1PKS	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000027	BGC0000027	Monascus pilosus pigment biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Monascus pilosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0000028	BGC0000028	Streptomyces lohii strain ATCC BAA-1276 bafilomycin biosynthetic gene cluster, complete sequence; and putative LuxR-like protein, putative malonyl transferase, and putative CoA ligase genes, complete cds	T1PKS	PKSI	Streptomyces lohii	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000029	BGC0000029	Streptomyces sp. DSM 21069 putative secreted metal-binding protein, putative lipoprotein, and hypothetical protein genes, complete cds; BE-14106 biosynthetic gene cluster, complete sequence; putative tripeptidylaminopeptidase and putative urease accessory proteins genes, complete cds; and putative urease accessory protein gene, partial cds	T1PKS	PKSI	Streptomyces sp. DSM 21069	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000030	BGC0000030	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05	T1PKS	PKSI	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000031	BGC0000031	Streptomyces parvulus Tu4055 cluster for borrelidin biosynthesis	T1PKS	PKSI	Streptomyces parvulus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000032	BGC0000032	Streptomyces chartreusis pyrrole polyether antibiotic calcimycin (A23187) biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces chartreusis NRRL 3882	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033	BGC0000033	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	PKS-like.oligosaccharide.T1PKS	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000034	BGC0000034	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000035	BGC0000035	Streptomyces bikiniensis strain NRRL 2737 chalcomycin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces bikiniensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000036	BGC0000036	Streptomyces antibioticus acetyltransferase gene, partial cds; hypothetical protein and Orf0 genes, complete cds; chlorothricin biosynthetic gene cluster, complete sequence; ChlC7, ChlB1, ChlB4, ChlB2, ChlB3, ChlH, ChlC5, ChlC4, ChlC3, ChlI, ChlJ, ChlF2, ChlK, ChlC2, ChlC1, ChlC6, ChlL, peptidase M20, putative helicase, and ankyrin genes, complete cds; tankyrase1-binding protein gene, partial cds; and unknown gene	PKS-like.T1PKS	PKSother	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000037	BGC0000037	TPA_asm: Aspergillus nidulans FGSC A4 chromosome I	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000038	BGC0000038	Streptomyces coelicolor A3(2) complete genome	butyrolactone.T1PKS	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000039	BGC0000039	Penicillium citrinum ML-236B (compactin) biosynthetic gene cluster (mlcH, mlcG, mlcF, mlcA, mlcC, mlcB, mlcD, mlcE, mlcR), complete cds	T1PKS	PKSI	Penicillium citrinum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000040	BGC0000040	Streptomyces neyagawaensis concanamycin A biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces neyagawaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000041	BGC0000041	Pseudomonas syringae coronafacic acid biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Pseudomonas syringae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000042	BGC0000042	Streptomyces sp. MJ635-86F5 DNA, cremimycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. MJ635-86F5	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000043	BGC0000043	Moorea producens 19L curacin A biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Moorena producens 19L	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Moorena
BGC0000044	BGC0000044	Stigmatella aurantiaca DW4/3-1, complete genome	T1PKS	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella
BGC0000045	BGC0000045	Aspergillus terreus strain AH-02-30-F7 dehydrocurvularin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000046	BGC0000046	Alternaria brassicicola strain MUCL 202097 depudecin gene cluster, complete sequence	T1PKS	PKSI	Alternaria brassicicola	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Brassicicola
BGC0000047	BGC0000047	Streptomyces sp. KCTC 0041BP dihydrochalcomyin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. KCTC 0041BP	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000048	BGC0000048	Mycosphaerella pini hypothetical protein (DS34) gene, partial cds; hypothetical protein (DS33), putative methionine permease (DS32), putative translation elongation factor (DS31), hypothetical protein (DS30), hypothetical protein (DS29), putative MFS multidrug transporter (DS28), hypothetical protein (DS27), hypothetical protein (DS26), putative amino acid permease (DS25), putative flavin-binding monooxygenase (moxA), epoxide hydrolase (epoA), averufin oxidase (avfA), cytochrome P450 monooxygenase (cypA), polyketide synthase (pksA), hypothetical protein (DS19), hypothetical protein (DS18), hypothetical protein (DS17), and hypothetical protein (DS16) genes, complete cds; and hypothetical protein (DS15) gene, partial cds	T1PKS	PKSI	Dothistroma septosporum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma
BGC0000050	BGC0000050	Streptomyces aculeolatus A gene locus, complete sequence	T1PKS	PKSI	Streptomyces aculeolatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000051	BGC0000051	UNVERIFIED: Streptomyces aburaviensis ebelactone gene cluster, complete sequence	T1PKS	PKSI	Kitasatospora aburaviensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0000052	BGC0000052	Streptomyces aizunensis strain NRRL B-11277 glycosyltransferase, polyketide synthase type Is, acyl transferase, membrane protein, ABC transporter, sugar dehydratase/epimerase, sugar epimerase, sugar nucleotidyltransferase, sugar dehydratase/epimerase, thioesterase, acyl CoA ligase, amine oxidase, phosphopantetheinyl transferase, transcriptional regulator, carboxylase/carboxyltransferase, amidinohydrolase, amide synthetase, 5-aminolevulinate synthase, and acyl CoA ligase genes, complete cds; and unknown gene	T1PKS	PKSI	Streptomyces aizunensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000053	BGC0000053	Sequence 49 from patent US 7595187	T1PKS	PKSI	Unknown. Unclassified.	
BGC0000054	BGC0000054	Aeromicrobium erythreum putative transcriptional repressor and putative dehydrogenase/reductase genes, complete cds; erythromycin biosynthesis gene cluster, complete sequence; putative oxidoreductase and LipN genes, complete cds; monoamine oxidase gene, partial cds; and unknown gene	T1PKS	PKSI	Aeromicrobium erythreum	Bacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
BGC0000055	BGC0000055	Saccharopolyspora erythraea NRRL2338 complete genome	T1PKS	PKSI	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000056	BGC0000056	Actinomadura verrucosospora strain ATCC 39334 esperamicin enediyne iterative type I polyketide synthase gene locus, partial sequence	T1PKS	PKSI	Actinomadura verrucosospora	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000057	BGC0000057	Aspergillus nidulans FGSC A4 chromosome II ANcontig1.135, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000058	BGC0000058	Streptomyces graminofaciens DNA, FD-891 producer gene cluster	T1PKS	PKSI	Streptomyces graminofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000059	BGC0000059	Streptomyces avermitilis MA-4680 = NBRC 14893 DNA, complete genome	T1PKS	PKSI	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000060	BGC0000060	Streptomyces pulveraceus strain ATCC 31906 fostriecin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces pulveraceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000062	BGC0000062	Gibberella moniliformis fumonisin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	[Gibberella] fujikuroi var. moniliformis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000063	BGC0000063	Fusarium oxysporum strain FRC O-1890 fumonisin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Fusarium oxysporum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum species complex
BGC0000064	BGC0000064	Gibberella fujikuroi FUSS (fusA) gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000065	BGC0000065	Streptomyces galbus strain KCCM 41354 transcriptional regulator, dehydrogenase, oxidoreductase, hydrolase, DNA binding protein, and O-methyltransferase genes, complete cds; methoxymalonyl-ACP biosynthesis gene locus, complete sequence; monooxygenase, beta-ketoacyl synthases, acyltransferase, oxidoreductase, transcriptional regulator, dehydratase, transport protein, dehydratase, transcriptional regulators, lipoprotein, peptidase, fatty acid desaturase, and oxidoreductase genes, complete cds; and unknown genes	PKS-like	PKSother	Streptomyces galbus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000066	BGC0000066	Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000067	BGC0000067	Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000068	BGC0000068	Streptomyces hygroscopicus strain 17997 geldanamycin biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000069	BGC0000069	Cystobacter violaceus strain Cb vi76 gephyronic acid biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Archangium violaceum Cb vi76	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Archangium
BGC0000070	BGC0000070	Penicillium aethiopicum strain IBT 5753 griseofulvin biosynthetic gene cluster, complete sequence; and unknown genes	T1PKS	PKSI	Penicillium aethiopicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000072	BGC0000072	Pyxidicoccus fallax strain DSM 28991 gulmirecin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Pyxidicoccus fallax	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Pyxidicoccus
BGC0000073	BGC0000073	Streptomyces halstedii halstoctacosanolide biosynthetic gene cluster (hlsA, hlsB, hlsC, hlsD, hlsE, hlsF, hlsG, hlsH, hlsI), complete cds	T1PKS	PKSI	Streptomyces halstedii	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000074	BGC0000074	Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000075	BGC0000075	Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000076	BGC0000076	Hypomyces subiculosus strain DSM11931 hypothemycin gene cluster, partial sequence	T1PKS	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000077	BGC0000077	Hypomyces subiculosus strain DSM11932 hypothemycin gene cluster, complete sequence; and oxidoreductase gene, complete cds	T1PKS	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000078	BGC0000078	Streptomyces sp. ML694-90F3 DNA, incednine biosynthetic gene cluster	oligosaccharide.T1PKS	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000079	BGC0000079	Streptomyces antibioticus strain NRRL8167 indanomycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000080	BGC0000080	Polyangium cellulosum strain So ce307 conserved hypothetical protein gene, partial cds; and jerangolid gene cluster, partial sequence	T1PKS	PKSI	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000081	BGC0000081	Streptoalloteichus sp. ATCC 53650 kedarcidin biosynthetic gene cluster, complete sequence	arylpolyene.NRPS-like.T1PKS.NRPS	Others	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Streptoalloteichus,unclassified Streptoalloteichus
BGC0000082	BGC0000082	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	oligosaccharide.T1PKS	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000083	BGC0000083	Streptomyces amphibiosporus strain ATCC 53964 lactimidomycin gene cluster, complete sequence	transAT-PKS	PKSother	Streptomyces amphibiosporus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000084	BGC0000084	Streptomyces sp. CS684 hypothetical protein, putative cytochrome c oxidase, putative histidine kinase sensor, and putative magnesium/manganese-dependent protein phosphatase genes, complete cds; laidlomycin biosynthetic gene cluster, complete sequence; putative membrane protein, putative major facilitator superfamily transporter, putative succinic semialdehyde dehydrogenase, hypothetical proteins, putative dihydroxyacetone kinase, and putative peptide transporter (ATP-binding subunit) genes, complete cds; and peptide transporter (peptide-binding subunit) gene, partial cds	T1PKS	PKSI	Streptomyces sp. CS684	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000085	BGC0000085	Streptomyces rochei plasmid pSLA2-L DNA, complete sequence	T1PKS	PKSI	Streptomyces rochei	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces rochei group
BGC0000086	BGC0000086	Streptomyces lasaliensis plasmid pKSL polyether antibiotic lasalocid biosynthesis gene cluster, partial sequence	T1PKS	PKSI	Streptomyces lasalocidi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000087	BGC0000087	Streptomyces lasaliensis lasalocid biosynthetic gene cluster, strain NRRL 3382R	T1PKS	PKSI	Streptomyces lasalocidi	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000088	BGC0000088	Aspergillus terreus strain ATCC 20542 esterase, cytochrome P450 monooxygenase (lovA), enoyl reductase (lovC), transesterase (lovD), hydroxymethylglutaryl-coenzyme A reductase, regulatory protein (lovE), polyketide synthase (lovF), regulatory protein, and cytochrome P450 monooxygenase genes, complete cds; and unknown genes	T1PKS	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000090	BGC0000090	Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 macbecin biosynthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000091	BGC0000091	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS.prodigiosin	PKS-NRP_Hybrids	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
