Supplementary Table 4. Quality assessment and taxonomic classification of the prokaryotic Skin Microbial Genome Catalogue																	
identifier	genome_size	N50	completeness	contamination	5S_rRNA	LSU_rRNA_bacteria	SSU_rRNA_bacteria	Numb_tRNAs	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	novelty	Sample
SMGC_44	1707177	9842	78.05	1.66	0	0	0	14	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia sp000185285	Known	SAMPLE_149
SMGC_45	1961210	29123	95.28	0	92.44	0	0	19	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella parvula_A	Known	SAMPLE_149
SMGC_46	1569382	26684	96.99	1.29	0	0	0	12	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Facklamia_A	s__Facklamia_A ignava	Known	SAMPLE_154
SMGC_47	1194211	11021	86.77	0.71	0	0	0	11	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Mogibacterium	s__	Known	SAMPLE_154
SMGC_48	1351051	6589	76.58	0.79	0	0	0	19	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_B	s__Campylobacter_B ureolyticus_A	Known	SAMPLE_154
SMGC_49	2201726	36005	99.42	0.71	0	0	0	20	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Porphyromonas	s__Porphyromonas somerae	Known	SAMPLE_154
SMGC_50	1111104	13044	84.04	0.35	0	0	0	6	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__S5-A14a	s__S5-A14a sp000758905	Known	SAMPLE_154
SMGC_51	2344767	25497	93.54	0.97	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium coyleae	Known	SAMPLE_154
SMGC_52	2104734	15529	93.21	0.19	0	0	0	16	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	Known	SAMPLE_154
SMGC_53	2953748	24736	99.87	0.02	94.96	0	0	15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter johnsonii	Known	SAMPLE_166
SMGC_54	3605068	25350	99.26	1.21	0	0	0	16	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__	Known	SAMPLE_166
SMGC_55	1826191	13139	96.79	0.25	0	0	0	12	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__	Novel	SAMPLE_170
SMGC_56	2282264	54380	97.32	0	0	0	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium afermentans	Known	SAMPLE_174
SMGC_57	2251538	445042	99.45	0	94.96	0	0	18	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus auricularis	Known	SAMPLE_181
SMGC_58	4487783	107600	99.97	0	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas rivipollensis	Known	SAMPLE_183
SMGC_59	5783507	22844	76.14	0	0	0	0	14	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__	Novel	SAMPLE_183
SMGC_60	4792435	21418	98.12	0.67	65.55	0	0	16	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia sp002009645	Known	SAMPLE_190
SMGC_61	6179466	56117	98.17	1.39	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycolicibacterium	s__Mycolicibacterium bacteremicum	Known	SAMPLE_190
SMGC_62	3381304	7719	80.95	0.73	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus kroppenstedtii	Known	SAMPLE_190
SMGC_63	3069853	10585	91.97	1.21	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria sp002295155	Known	SAMPLE_190
SMGC_64	3164606	23732	96.27	1.47	0	0	0	19	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus sphaerophysae	Known	SAMPLE_190
SMGC_65	3776683	6799	89.71	1.55	0	0	0	15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea agglomerans	Known	SAMPLE_193
SMGC_66	2883040	55105	98.96	0.33	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria palustris	Known	SAMPLE_194
SMGC_67	5560899	16616	98.67	0.95	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A thuringiensis_S	Known	SBCC_5
SMGC_68	6120882	143991	99.53	0.47	NA	NA	NA	NA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter sp002331005	Known	SBCC_15
SMGC_69	3856234	43361	99.45	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Arsenicicoccus	s__Arsenicicoccus bolidensis	Known	SBCC_16
SMGC_70	2243485	215158	99.84	1.42	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Winkia	s__Winkia sp002849225	Known	SBCC_18
SMGC_71	3990344	210999	99.43	0.38	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Bacillus_C	s__Bacillus_C flexus	Known	SBCC_19
SMGC_72	5276865	183880	100	0.27	NA	NA	NA	NA	d__Bacteria	p__Firmicutes_I	c__Bacilli_A	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus_B	s__Brevibacillus_B laterosporus	Known	SBCC_20
SMGC_73	2401409	177181	98.26	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium ravenspurgense	Known	SBCC_21
SMGC_74	4193192	49404	98.83	1.75	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Brachybacterium	s__	Novel	SBCC_23
SMGC_75	2374479	119524	97.76	0.44	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium afermentans	Known	SBCC_24
SMGC_76	2472907	119739	97.54	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SBCC_29
SMGC_77	2713094	127575	99.78	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium aurimucosum_C	Known	SBCC_31
SMGC_78	2801209	150160	99.78	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium singulare	Known	SBCC_32
SMGC_79	2586033	74180	99.34	0.05	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium hadale	Known	SBCC_33
SMGC_80	4505683	26264	98.84	0.67	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__	Novel	SBCC_36
SMGC_81	2579372	205102	99.78	0.44	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium imitans	Known	SBCC_37
SMGC_82	2325744	126931	99.66	0.23	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium sp001807485	Known	SBCC_38
SMGC_83	2285889	260899	99.32	0.45	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SBCC_40
SMGC_84	2415521	134325	99.78	0.44	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Known	SBCC_43
SMGC_85	2642177	137232	99.78	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium minutissimum	Known	SBCC_44
SMGC_86	2541418	196090	99.22	0.15	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium propinquum	Known	SBCC_47
SMGC_87	2327991	240611	99.67	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium pseudodiphtheriticum	Known	SBCC_48
SMGC_88	2651581	213611	99.56	0.23	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium simulans	Known	SBCC_49
SMGC_89	2750853	205550	99.67	0.47	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium striatum	Known	SBCC_50
SMGC_90	2446751	142597	99.6	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium pseudogenitalium	Known	SBCC_55
SMGC_91	2361390	131993	99.21	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SBCC_62
SMGC_92	2401486	138332	99.78	0.09	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SBCC_64
SMGC_93	2788091	53175	99.4	0.79	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium freneyi	Known	SBCC_67
SMGC_94	2284556	145427	93.57	0.15	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__Dermabacter_A	s__Dermabacter_A vaginalis	Known	SBCC_68
SMGC_95	2506430	76482	98.25	0	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermabacteraceae	g__	s__	Novel	SBCC_70
SMGC_96	2927215	93883	99.34	0.33	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria indica	Known	SBCC_71
SMGC_97	2845915	97549	98.36	0.33	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__Kocuria rhizophila_B	Known	SBCC_72
SMGC_98	4576603	282087	99.34	0.33	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Lysinibacillus	s__Lysinibacillus fusiformis	Known	SBCC_73
SMGC_99	3215460	65608	98.86	1.78	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium aurum	Known	SBCC_74
SMGC_100	2387525	202139	95.58	2.03	NA	NA	NA	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Macrococcus	s__Macrococcus epidermidis	Known	SBCC_75
SMGC_101	2550201	19068	97.97	1.38	NA	NA	NA	NA	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__	Novel	SBCC_76
SMGC_102	2063942	23219	90.51	0.22	0	0	0	18	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__	Novel	SAMPLE_206
SMGC_103	1853183	116619	95.44	0	0	0	0	17	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Lawsonella	s__	Known	SAMPLE_263
SMGC_104	1163660	112171	90.2	0.68	94.96	33.03	51.86	20	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Simkaniaceae	g__	s__	Known	SAMPLE_263
SMGC_105	3450228	75138	97.18	0.12	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__	Known	SAMPLE_264
SMGC_106	1148406	1801	66.31	1.71	0	0	0	12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Bergeyella	s__Bergeyella zoohelcum	Known	SAMPLE_264
SMGC_107	1076123	2811	74.79	1.91	0	0	0	13	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__	s__	Novel	SAMPLE_264
SMGC_108	1886195	21598	86.26	0.41	0	0	0	17	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__	Novel	SAMPLE_264
SMGC_109	1914182	72043	99.85	0	0	7.08	0	9	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus canis	Known	SAMPLE_264
SMGC_110	2131607	70488	91.79	0.41	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__	Known	SAMPLE_264
SMGC_111	917897	2524	54.02	0	0	0	0	6	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella	s__	Novel	SAMPLE_264
SMGC_112	2397105	4267	50	0	0	0	0	10	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Dermatophilaceae	g__Branchiibius	s__	Novel	SAMPLE_264
SMGC_113	1230959	2174	54.68	1.03	88.24	5.37	11.48	10	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter_B	s__	Novel	SAMPLE_264
SMGC_114	3074649	54597	98.96	0.69	94.96	11.28	0	20	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Granulicoccus	s__	Known	SAMPLE_267
SMGC_115	2392473	126429	98.71	0	0	0	0	19	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium resistens	Known	SAMPLE_267
SMGC_116	5155575	43874	98.53	1.82	94.96	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__	Known	SAMPLE_280
SMGC_117	4208877	106445	99.39	0.51	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Haematobacter	s__Haematobacter missouriensis	Known	SAMPLE_282
SMGC_118	6291400	270927	99.66	0.11	0	0	0	20	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa	Known	SAMPLE_284
SMGC_119	3046288	128648	97.47	0.5	0	0	0	18	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Xanthomonas_B	s__	Known	SAMPLE_297
