group	sample	bgc	gcf	dist
SMGC	SMGC_149	SMGC_149.c00002_NODE_15...region001.gbk	244893	1810
SMGC	SMGC_149	SMGC_149.c00009_NODE_27...region001.gbk	247338	1194
SMGC	SMGC_149	SMGC_149.c00019_NODE_46...region001.gbk	247022	1114
SMGC	SMGC_195	SMGC_195.c00441_NODE_71...region001.gbk	245560	503
SMGC	SMGC_195	SMGC_195.c00437_NODE_69...region001.gbk	245560	500
SMGC	SMGC_195	SMGC_195.c00385_NODE_53...region001.gbk	245560	580
SMGC	SMGC_195	SMGC_195.c00376_NODE_52...region001.gbk	245560	519
SMGC	SMGC_195	SMGC_195.c00258_NODE_36...region001.gbk	245560	600
SMGC	SMGC_195	SMGC_195.c00254_NODE_35...region001.gbk	246125	556
SMGC	SMGC_195	SMGC_195.c00043_NODE_92...region001.gbk	244878	446
SMGC	SMGC_195	SMGC_195.c00217_NODE_31...region001.gbk	245560	506
SMGC	SMGC_195	SMGC_195.c00118_NODE_19...region001.gbk	244878	1073
SMGC	SMGC_195	SMGC_195.c00128_NODE_20...region001.gbk	245560	574
SMGC	SMGC_195	SMGC_195.c00055_NODE_11...region001.gbk	244878	1002
SMGC	SMGC_195	SMGC_195.c00037_NODE_84...region001.gbk	244878	1507
SMGC	SMGC_195	SMGC_195.c00063_NODE_12...region001.gbk	245560	579
SMGC	SMGC_195	SMGC_195.c00032_NODE_78...region001.gbk	246216	1013
SMGC	SMGC_195	SMGC_195.c00035_NODE_81...region001.gbk	246125	757
SMGC	SMGC_195	SMGC_195.c00019_NODE_57...region001.gbk	246125	725
SMGC	SMGC_195	SMGC_195.c00003_NODE_15...region001.gbk	245560	1166
SMGC	SMGC_195	SMGC_195.c00004_NODE_23...region001.gbk	245560	1317
SMGC	SMGC_509	SMGC_509.c00692_NODE_61...region001.gbk	245560	505
SMGC	SMGC_509	SMGC_509.c00524_NODE_42...region001.gbk	245560	487
SMGC	SMGC_509	SMGC_509.c00523_NODE_42...region001.gbk	244878	510
SMGC	SMGC_509	SMGC_509.c00174_NODE_14...region001.gbk	244878	1008
SMGC	SMGC_509	SMGC_509.c00109_NODE_99...region001.gbk	246216	875
SMGC	SMGC_153	SMGC_153.c00648_NODE_66...region001.gbk	245271	720
SMGC	SMGC_153	SMGC_153.c00414_NODE_43...region001.gbk	244878	816
SMGC	SMGC_555	SMGC_555.c00131_NODE_15...region001.gbk	244878	782
SMGC	SMGC_555	SMGC_555.c00103_NODE_63...region001.gbk	244893	641
SMGC	SMGC_555	SMGC_555.c00087_NODE_47...region001.gbk	244878	1007
SMGC	SMGC_555	SMGC_555.c00008_NODE_58...region001.gbk	244878	1020
SMGC	SMGC_555	SMGC_555.c00031_NODE_14...region001.gbk	245979	1187
SMGC	SMGC_555	SMGC_555.c00028_NODE_13...region001.gbk	244878	858
SMGC	SMGC_555	SMGC_555.c00010_NODE_60...region001.gbk	244878	1564
EPIC	LK1270	LK1270_14.region001.gbk	244878	1012
EPIC	LK1270	LK1270_2.region001.gbk	246216	1256
EPIC	LK1270	LK1270_7.region001.gbk	245560	1170
EPIC	LK1270	LK1270_17.region001.gbk	245027	1045
SMGC	SMGC_523	SMGC_523.c00019_NODE_44...region001.gbk	244878	570
SMGC	SMGC_523	SMGC_523.c00021_NODE_54...region001.gbk	244878	855
SMGC	SMGC_523	SMGC_523.c00024_NODE_64...region001.gbk	246216	1120
SMGC	SMGC_523	SMGC_523.c00016_NODE_32...region001.gbk	245656	1286
EPIC	LK494	LK494_1.region002.gbk	244878	1234
EPIC	LK494	LK494_1.region001.gbk	246219	1217
SMGC	SMGC_211	SMGC_211.c00004_NODE_45...region001.gbk	245936	1122
SMGC	SMGC_211	SMGC_211.c00002_NODE_19...region001.gbk	244878	654
SMGC	SMGC_211	SMGC_211.c00021_NODE_12...region001.gbk	245671	1331
EPIC	LK1073	LK1073_26.region001.gbk	247890	913
EPIC	LK1073	LK1073_6.region001.gbk	244878	961
EPIC	LK1073	LK1073_52.region001.gbk	246216	1044
EPIC	LK1073	LK1073_11.region001.gbk	246695	956
EPIC	LK1073	LK1073_23.region001.gbk	244878	787
EPIC	LK1073	LK1073_25.region001.gbk	245560	1486
SMGC	SMGC_406	SMGC_406.c00922_NODE_11...region001.gbk	244878	589
SMGC	SMGC_406	SMGC_406.c00485_NODE_70...region001.gbk	245560	724
SMGC	SMGC_406	SMGC_406.c00100_NODE_32...region001.gbk	244878	841
SMGC	SMGC_579	SMGC_579.c00038_NODE_30...region001.gbk	246515	844
SMGC	SMGC_127	SMGC_127.c00001_NODE_4_...region001.gbk	246515	890
SMGC	SMGC_324	SMGC_324.c00041_NODE_10...region001.gbk	244878	768
SMGC	SMGC_324	SMGC_324.c00023_NODE_49...region001.gbk	244878	742
SMGC	SMGC_324	SMGC_324.c00013_NODE_32...region001.gbk	244878	744
SMGC	SMGC_324	SMGC_324.c00002_NODE_3_...region001.gbk	244878	745
SMGC	SMGC_254	SMGC_254.c00259_NODE_24...region001.gbk	244878	440
SMGC	SMGC_254	SMGC_254.c00175_NODE_12...region001.gbk	246216	1109
SMGC	SMGC_254	SMGC_254.c00056_NODE_25...region001.gbk	244878	717
SMGC	SMGC_254	SMGC_254.c00069_NODE_30...region001.gbk	244878	1477
SMGC	SMGC_254	SMGC_254.c00047_NODE_22...region001.gbk	245560	838
SMGC	SMGC_254	SMGC_254.c00033_NODE_16...region001.gbk	244878	1313
EPIC	LK934	LK934_3.region001.gbk	244878	916
EPIC	LK934	LK934_13.region001.gbk	244878	891
EPIC	LK934	LK934_1.region001.gbk	246216	1101
EPIC	LK934	LK934_12.region001.gbk	246695	1087
EPIC	LK934	LK934_18.region001.gbk	246723	865
EPIC	LK934	LK934_19.region001.gbk	245560	1232
SMGC	SMGC_536	SMGC_536.c00073_NODE_17...region001.gbk	244878	880
SMGC	SMGC_536	SMGC_536.c00034_NODE_10...region001.gbk	246216	743
SMGC	SMGC_536	SMGC_536.c00011_NODE_51...region001.gbk	245560	718
EPIC	LK1093	LK1093_14.region001.gbk	244878	929
EPIC	LK1093	LK1093_1.region001.gbk	246216	1109
EPIC	LK1059	LK1059_45.region001.gbk	246216	834
EPIC	LK1059	LK1059_30.region001.gbk	244878	1012
EPIC	LK1059	LK1059_6.region001.gbk	245560	1106
EPIC	LK1059	LK1059_5.region001.gbk	245027	1011
EPIC	LK1046	LK1046_48.region001.gbk	244878	841
EPIC	LK1046	LK1046_100.region001.gbk	245560	783
EPIC	LK1046	LK1046_21.region001.gbk	244878	798
EPIC	LK1046	LK1046_77.region001.gbk	244878	977
EPIC	LK1046	LK1046_55.region001.gbk	244878	577
EPIC	LK1046	LK1046_27.region001.gbk	246216	1685
EPIC	LK1046	LK1046_54.region001.gbk	245656	965
EPIC	LK1046	LK1046_3.region001.gbk	244878	1380
SMGC	SMGC_331	SMGC_331.c00024_NODE_17...region001.gbk	246515	705
SMGC	SMGC_224	SMGC_224.c00001_NODE_1_...region001.gbk	244878	566
SMGC	SMGC_224	SMGC_224.c00008_NODE_8_...region001.gbk	244878	1436
SMGC	SMGC_224	SMGC_224.c00006_NODE_6_...region001.gbk	245666	1509
SMGC	SMGC_83	SMGC_83.c00004_NODE_4_...region001.gbk	244878	1077
SMGC	SMGC_83	SMGC_83.c00002_NODE_2_...region001.gbk	244878	1216
SMGC	SMGC_83	SMGC_83.c00010_NODE_10...region001.gbk	245560	1404
SMGC	SMGC_83	SMGC_83.c00006_NODE_6_...region001.gbk	245024	1252
SMGC	SMGC_83	SMGC_83.c00002_NODE_2_...region002.gbk	246219	1102
SMGC	SMGC_260	SMGC_260.c00063_NODE_23...region001.gbk	244878	441
SMGC	SMGC_207	SMGC_207.c00177_NODE_38...region001.gbk	246697	1034
SMGC	SMGC_207	SMGC_207.c00093_NODE_15...region001.gbk	246216	898
SMGC	SMGC_207	SMGC_207.c00011_NODE_12...region001.gbk	245560	1361
SMGC	SMGC_50	SMGC_50.c00013_NODE_14...region001.gbk	246515	901
SMGC	SMGC_131	SMGC_131.c00014_NODE_11...region001.gbk	246515	711
SMGC	SMGC_113	SMGC_113.c00571_NODE_85...region001.gbk	245086	763
SMGC	SMGC_113	SMGC_113.c00348_NODE_41...region001.gbk	244878	608
SMGC	SMGC_305	SMGC_305.c00011_NODE_24...region002.gbk	246216	996
SMGC	SMGC_305	SMGC_305.c00011_NODE_24...region001.gbk	245560	1095
SMGC	SMGC_305	SMGC_305.c00015_NODE_31...region001.gbk	245024	833
EPIC	LK1009	LK1009_27.region001.gbk	247890	981
EPIC	LK1009	LK1009_36.region001.gbk	244878	961
EPIC	LK1009	LK1009_62.region001.gbk	246216	1148
EPIC	LK1009	LK1009_9.region001.gbk	246695	956
EPIC	LK1009	LK1009_8.region001.gbk	244878	787
EPIC	LK1009	LK1009_37.region001.gbk	245560	1435
EPIC	LK443	LK443_51.region001.gbk	247890	974
EPIC	LK443	LK443_8.region001.gbk	244878	961
EPIC	LK443	LK443_57.region001.gbk	246695	843
EPIC	LK443	LK443_56.region001.gbk	245560	1195
EPIC	LK443	LK443_2.region001.gbk	244878	981
EPIC	LK443	LK443_34.region001.gbk	246216	1302
EPIC	LK444	LK444_2.region001.gbk	246216	1441
EPIC	LK444	LK444_9.region001.gbk	245560	1255
EPIC	LK444	LK444_2.region002.gbk	246125	1150
EPIC	LK444	LK444_3.region001.gbk	244878	1631
EPIC	LK1006	LK1006_15.region001.gbk	244878	1006
EPIC	LK1006	LK1006_4.region001.gbk	244878	756
EPIC	LK1006	LK1006_62.region001.gbk	245560	1090
EPIC	LK1006	LK1006_18.region001.gbk	246216	1632
EPIC	LK1006	LK1006_37.region001.gbk	244878	1660
EPIC	LK1006	LK1006_28.region001.gbk	245024	786
SMGC	SMGC_23	SMGC_23.c00012_NODE_25...region001.gbk	244878	847
SMGC	SMGC_23	SMGC_23.c00015_NODE_28...region001.gbk	246216	1389
SMGC	SMGC_23	SMGC_23.c00006_NODE_15...region001.gbk	244878	1024
SMGC	SMGC_23	SMGC_23.c00002_NODE_10...region001.gbk	245560	1296
SMGC	SMGC_295	SMGC_295.c00053_NODE_14...region001.gbk	247672	689
SMGC	SMGC_295	SMGC_295.c00024_NODE_82...region001.gbk	244878	906
SMGC	SMGC_295	SMGC_295.c00006_NODE_45...region001.gbk	245936	1149
SMGC	SMGC_572	SMGC_572.c00787_NODE_68...region001.gbk	245086	1013
SMGC	SMGC_572	SMGC_572.c00727_NODE_59...region001.gbk	244890	1351
SMGC	SMGC_572	SMGC_572.c00677_NODE_52...region001.gbk	244878	480
SMGC	SMGC_572	SMGC_572.c00656_NODE_49...region001.gbk	244878	496
SMGC	SMGC_572	SMGC_572.c00457_NODE_29...region001.gbk	244878	1148
SMGC	SMGC_572	SMGC_572.c00437_NODE_27...region001.gbk	244878	425
SMGC	SMGC_572	SMGC_572.c00180_NODE_12...region001.gbk	244893	810
SMGC	SMGC_572	SMGC_572.c00152_NODE_10...region001.gbk	244878	1223
SMGC	SMGC_572	SMGC_572.c00020_NODE_38...region001.gbk	244890	1146
EPIC	LK871	LK871_7.region001.gbk	244878	1012
EPIC	LK871	LK871_5.region001.gbk	246216	1139
EPIC	LK871	LK871_2.region001.gbk	245560	1106
EPIC	LK871	LK871_2.region002.gbk	245027	1035
SMGC	SMGC_255	SMGC_255.c00319_NODE_41...region001.gbk	244878	607
SMGC	SMGC_255	SMGC_255.c00064_NODE_93...region001.gbk	246219	763
SMGC	SMGC_255	SMGC_255.c00030_NODE_56...region001.gbk	244878	750
SMGC	SMGC_90	SMGC_90.c00007_NODE_7_...region001.gbk	246216	963
SMGC	SMGC_90	SMGC_90.c00007_NODE_7_...region002.gbk	245560	1304
SMGC	SMGC_90	SMGC_90.c00004_NODE_4_...region001.gbk	245027	806
SMGC	SMGC_109	SMGC_109.c00004_NODE_62...region001.gbk	244878	994
SMGC	SMGC_109	SMGC_109.c00012_NODE_27...region001.gbk	244878	1142
SMGC	SMGC_424	SMGC_424.c00128_NODE_12...region001.gbk	244878	823
SMGC	SMGC_424	SMGC_424.c00005_NODE_28...region001.gbk	244878	886
SMGC	SMGC_81	SMGC_81.c00012_NODE_12...region001.gbk	244878	758
SMGC	SMGC_81	SMGC_81.c00011_NODE_11...region001.gbk	245656	1509
SMGC	SMGC_249	SMGC_249.c00133_NODE_19...region001.gbk	244878	426
EPIC	LK975	LK975_63.region001.gbk	246216	1153
EPIC	LK975	LK975_6.region001.gbk	244878	1192
EPIC	LK975	LK975_60.region001.gbk	245560	1061
EPIC	LK975	LK975_1.region001.gbk	244878	825
EPIC	LK975	LK975_26.region001.gbk	244878	1678
EPIC	LK975	LK975_3.region001.gbk	244878	1380
EPIC	LK975	LK975_35.region001.gbk	245024	791
EPIC	LK1147	LK1147_53.region001.gbk	247890	981
EPIC	LK1147	LK1147_15.region001.gbk	244878	961
EPIC	LK1147	LK1147_8.region001.gbk	246695	989
EPIC	LK1147	LK1147_1.region001.gbk	246216	1344
EPIC	LK1147	LK1147_5.region001.gbk	244878	787
EPIC	LK1147	LK1147_19.region001.gbk	245560	1500
SMGC	SMGC_359	SMGC_359.c00004_NODE_32...region001.gbk	246515	1334
SMGC	SMGC_359	SMGC_359.c00008_NODE_48...region001.gbk	245874	1353
SMGC	SMGC_168	SMGC_168.c00387_NODE_81...region001.gbk	244878	453
SMGC	SMGC_168	SMGC_168.c00189_NODE_42...region001.gbk	245560	522
SMGC	SMGC_168	SMGC_168.c00138_NODE_32...region001.gbk	246216	900
SMGC	SMGC_168	SMGC_168.c00089_NODE_24...region001.gbk	245560	611
SMGC	SMGC_168	SMGC_168.c00026_NODE_12...region001.gbk	245656	797
SMGC	SMGC_168	SMGC_168.c00015_NODE_99...region001.gbk	244878	1072
SMGC	SMGC_418	SMGC_418.c00010_NODE_28...region001.gbk	246515	771
SMGC	SMGC_541	SMGC_541.c00111_NODE_40...region001.gbk	244878	506
SMGC	SMGC_541	SMGC_541.c00032_NODE_11...region001.gbk	244878	925
SMGC	SMGC_541	SMGC_541.c00014_NODE_45...region001.gbk	244878	566
EPIC	LK1263	LK1263_53.region001.gbk	246216	1185
EPIC	LK1263	LK1263_17.region001.gbk	245560	829
EPIC	LK1263	LK1263_18.region001.gbk	244878	978
SMGC	SMGC_269	SMGC_269.c00019_NODE_57...region001.gbk	246216	869
SMGC	SMGC_269	SMGC_269.c00023_NODE_80...region001.gbk	244878	1183
SMGC	SMGC_10	SMGC_10.c00029_NODE_38...region001.gbk	244878	446
SMGC	SMGC_10	SMGC_10.c00018_NODE_24...region001.gbk	244878	440
SMGC	SMGC_10	SMGC_10.c00032_NODE_41...region001.gbk	244878	889
SMGC	SMGC_10	SMGC_10.c00009_NODE_15...region001.gbk	244878	888
SMGC	SMGC_10	SMGC_10.c00006_NODE_11...region001.gbk	246515	1364
EPIC	LK1337	LK1337_37.region001.gbk	246216	1123
EPIC	LK1337	LK1337_17.region001.gbk	247820	1434
EPIC	LK1337	LK1337_11.region001.gbk	247890	1497
SMGC	SMGC_344	SMGC_344.c00002_NODE_3_...region001.gbk	244878	1169
EPIC	LK1334	LK1334_17.region001.gbk	247890	981
EPIC	LK1334	LK1334_10.region001.gbk	244878	961
EPIC	LK1334	LK1334_12.region001.gbk	245373	1001
EPIC	LK1334	LK1334_53.region001.gbk	245560	1195
EPIC	LK1334	LK1334_6.region001.gbk	246695	956
EPIC	LK1334	LK1334_21.region001.gbk	244878	1003
EPIC	LK1334	LK1334_2.region001.gbk	246216	1427
SMGC	SMGC_622	SMGC_622.c00146_NODE_40...region001.gbk	244878	426
SMGC	SMGC_622	SMGC_622.c00060_NODE_25...region001.gbk	246515	452
SMGC	SMGC_437	SMGC_437.c00001_NODE_22...region001.gbk	244878	1777
SMGC	SMGC_101	SMGC_101.c00196_NODE_19...region001.gbk	244878	451
SMGC	SMGC_101	SMGC_101.c00111_NODE_11...region001.gbk	244878	1148
SMGC	SMGC_101	SMGC_101.c00087_NODE_87...region001.gbk	245560	716
SMGC	SMGC_101	SMGC_101.c00006_NODE_6_...region001.gbk	246695	926
SMGC	SMGC_104	SMGC_104.c00002_NODE_6_...region001.gbk	244878	1796
SMGC	SMGC_235	SMGC_235.c00011_NODE_11...region001.gbk	244878	796
SMGC	SMGC_235	SMGC_235.c00001_NODE_1_...region002.gbk	244878	982
SMGC	SMGC_235	SMGC_235.c00006_NODE_6_...region001.gbk	244878	879
SMGC	SMGC_235	SMGC_235.c00001_NODE_1_...region001.gbk	246216	1569
SMGC	SMGC_235	SMGC_235.c00001_NODE_1_...region003.gbk	245669	841
EPIC	LK1255	LK1255_2.region001.gbk	244878	780
EPIC	LK1255	LK1255_5.region001.gbk	244878	969
EPIC	LK1255	LK1255_1.region001.gbk	244878	1655
EPIC	LK1255	LK1255_4.region001.gbk	245815	1503
EPIC	LK1255	LK1255_2.region002.gbk	246216	1655
SMGC	SMGC_232	SMGC_232.c00058_NODE_58...region001.gbk	245560	500
SMGC	SMGC_232	SMGC_232.c00016_NODE_16...region001.gbk	244878	1047
SMGC	SMGC_232	SMGC_232.c00005_NODE_5_...region003.gbk	244878	865
SMGC	SMGC_232	SMGC_232.c00023_NODE_23...region001.gbk	244878	1069
SMGC	SMGC_232	SMGC_232.c00007_NODE_7_...region001.gbk	244878	1335
SMGC	SMGC_232	SMGC_232.c00017_NODE_17...region001.gbk	245560	818
SMGC	SMGC_232	SMGC_232.c00018_NODE_18...region002.gbk	244878	1112
SMGC	SMGC_232	SMGC_232.c00018_NODE_18...region001.gbk	246216	1265
SMGC	SMGC_232	SMGC_232.c00041_NODE_41...region001.gbk	245560	1122
SMGC	SMGC_232	SMGC_232.c00037_NODE_37...region001.gbk	245560	912
SMGC	SMGC_232	SMGC_232.c00004_NODE_4_...region001.gbk	247338	1629
